"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년","2학년","3학년","특수학급","순회학급","학급수(계)","학생수(계)","학급당학생수"
"충청남도교육청","충청남도교육청","충청남도 공주시","S000003496","국립공주대학교사범대학부설고등학교","04","국립","N","","6","6","6","1","0","19(1)","452(3)","23.8"
"충청남도교육청","충청남도교육청","충청남도 홍성군","S120000123","갈산고등학교","04","공립","N","","3","3","3","1","0","10(1)","177(10)","17.7"
"충청남도교육청","충청남도교육청","충청남도 논산시","S120000124","강경고등학교","04","공립","N","","2","3","3","0","0","8(0)","149(0)","18.6"
"충청남도교육청","충청남도교육청","충청남도 논산시","S120000126","강경상업고등학교","04","공립","N","","5","5","5","0","0","15(0)","238(0)","15.9"
"충청남도교육청","충청남도교육청","충청남도 논산시","S120000128","건양대학교병설건양고등학교","04","사립","N","","4","4","4","0","0","12(0)","248(0)","20.7"
"충청남도교육청","충청남도교육청","충청남도 홍성군","S120000130","홍성공업고등학교","04","공립","N","","3","3","3","1","0","10(1)","142(2)","14.2"
"충청남도교육청","충청남도교육청","충청남도 공주시","S120000131","공주고등학교","04","공립","N","","8","8","8","1","0","25(1)","491(4)","19.6"
"충청남도교육청","충청남도교육청","충청남도 공주시","S120000132","공주마이스터고등학교","04","공립","N","","4","4","4","1","0","13(1)","190(2)","14.6"
"충청남도교육청","충청남도교육청","충청남도 공주시","S120000133","공주금성여자고등학교","04","사립","N","","7","7","7","0","0","21(0)","390(0)","18.6"
"충청남도교육청","충청남도교육청","충청남도 공주시","S120000134","공주생명과학고등학교","04","공립","N","","5","5","5","3","0","18(3)","259(18)","14.4"
"충청남도교육청","충청남도교육청","충청남도 공주시","S120000135","공주여자고등학교","04","공립","N","","7","7","7","1","0","22(1)","407(5)","18.5"
"충청남도교육청","충청남도교육청","충청남도 공주시","S120000137","공주영명고등학교","04","사립","N","","6","6","6","0","0","18(0)","347(0)","19.3"
"충청남도교육청","충청남도교육청","충청남도 공주시","S120000138","공주정보고등학교","04","사립","N","","4","4","4","0","0","12(0)","182(0)","15.2"
"충청남도교육청","충청남도교육청","충청남도 홍성군","S120000139","한국K-POP고등학교","04","사립","N","","2","2","2","0","0","6(0)","103(0)","17.2"
"충청남도교육청","충청남도교육청","충청남도 홍성군","S120000143","충남드론항공고등학교","04","공립","N","","3","3","3","1","0","10(1)","173(7)","17.3"
"충청남도교육청","충청남도교육청","충청남도 금산군","S120000144","금산고등학교","04","공립","N","","5","5","5","1","0","16(1)","349(1)","21.8"
"충청남도교육청","충청남도교육청","충청남도 금산군","S120000146","금산산업고등학교","04","공립","N","","3","3","3","3","0","12(3)","188(19)","15.7"
"충청남도교육청","충청남도교육청","충청남도 금산군","S120000147","금산여자고등학교","04","공립","N","","5","5","5","1","0","16(1)","341(4)","21.3"
"충청남도교육청","충청남도교육청","충청남도 논산시","S120000149","논산고등학교","04","공립","N","","4","4","4","0","0","12(0)","245(0)","20.4"
"충청남도교육청","충청남도교육청","충청남도 논산시","S120000150","국방항공고등학교","04","공립","N","","5","6","7","3","0","21(3)","239(19)","11.4"
"충청남도교육청","충청남도교육청","충청남도 논산시","S120000151","논산대건고등학교","04","사립","N","","8","8","8","0","0","24(0)","488(0)","20.3"
"충청남도교육청","충청남도교육청","충청남도 논산시","S120000152","논산여자고등학교","04","공립","N","","4","5","5","3","0","17(3)","283(17)","16.6"
"충청남도교육청","충청남도교육청","충청남도 논산시","S120000153","논산여자상업고등학교","04","사립","N","","6","7","7","0","0","20(0)","361(0)","18.1"
"충청남도교육청","충청남도교육청","충청남도 당진시","S120000154","당진고등학교","04","공립","N","","9","9","10","3","0","31(3)","894(18)","28.8"
"충청남도교육청","충청남도교육청","충청남도 당진시","S120000157","당진정보고등학교","04","공립","N","","9","9","9","3","0","30(3)","582(18)","19.4"
"충청남도교육청","충청남도교육청","충청남도 보령시","S120000158","대천고등학교","04","공립","N","","7","7","7","1","0","22(1)","460(5)","20.9"
"충청남도교육청","충청남도교육청","충청남도 보령시","S120000160","대천여자고등학교","04","공립","N","","7","7","7","2","0","23(2)","462(9)","20.1"
"충청남도교육청","충청남도교육청","충청남도 보령시","S120000161","대천여자상업고등학교","04","공립","N","","5","5","5","0","0","15(0)","256(0)","17.1"
"충청남도교육청","충청남도교육청","충청남도 예산군","S120000162","대흥고등학교","04","사립","N","","2","2","2","0","0","6(0)","131(0)","21.8"
"충청남도교육청","충청남도교육청","충청남도 예산군","S120000163","덕산고등학교","04","공립","N","","7","6","6","1","0","20(1)","483(4)","24.2"
"충청남도교육청","충청남도교육청","충청남도 아산시","S120000164","아산스마트팩토리마이스터고등학교","04","공립","N","","5","5","5","0","0","15(0)","229(0)","15.3"
"충청남도교육청","충청남도교육청","충청남도 태안군","S120000165","만리포고등학교","04","공립","N","","2","2","2","0","0","6(0)","90(0)","15"
"충청남도교육청","충청남도교육청","충청남도 천안시 동남구","S120000166","목천고등학교","04","공립","N","","4","4","4","1","0","13(1)","289(7)","22.2"
"충청남도교육청","충청남도교육청","충청남도 천안시 동남구","S120000167","병천고등학교","04","공립","N","","6","6","6","1","0","19(1)","426(5)","22.4"
"충청남도교육청","충청남도교육청","충청남도 천안시 동남구","S120000168","복자여자고등학교","04","사립","N","","8","8","8","0","0","24(0)","612(0)","25.5"
"충청남도교육청","충청남도교육청","충청남도 서산시","S120000169","부석고등학교","04","공립","N","","5","5","5","0","0","15(0)","367(0)","24.5"
"충청남도교육청","충청남도교육청","충청남도 부여군","S120000170","부여고등학교","04","공립","N","","7","7","7","1","0","22(1)","421(4)","19.1"
"충청남도교육청","충청남도교육청","충청남도 부여군","S120000172","부여여자고등학교","04","공립","N","","5","5","5","1","0","16(1)","299(3)","18.7"
"충청남도교육청","충청남도교육청","충청남도 부여군","S120000173","부여전자고등학교","04","공립","N","","2","2","2","0","0","6(0)","58(0)","9.7"
"충청남도교육청","충청남도교육청","충청남도 부여군","S120000174","부여정보고등학교","04","공립","N","","2","2","3","2","0","9(2)","119(11)","13.2"
"충청남도교육청","충청남도교육청","충청남도 예산군","S120000175","삽교고등학교","04","사립","N","","5","5","5","0","0","15(0)","324(0)","21.6"
"충청남도교육청","충청남도교육청","충청남도 서산시","S120000176","서령고등학교","04","사립","N","","9","9","9","0","0","27(0)","805(0)","29.8"
"충청남도교육청","충청남도교육청","충청남도 서산시","S120000177","서산고등학교","04","공립","N","","5","5","5","0","0","15(0)","370(0)","24.7"
"충청남도교육청","충청남도교육청","충청남도 서산시","S120000178","서산중앙고등학교","04","공립","N","","10","10","10","7","0","37(7)","833(48)","22.5"
"충청남도교육청","충청남도교육청","충청남도 서산시","S120000180","서산여자고등학교","04","공립","N","","9","10","10","2","0","31(2)","830(9)","26.8"
"충청남도교육청","충청남도교육청","충청남도 당진시","S120000181","서야고등학교","04","사립","N","","4","4","4","0","0","12(0)","276(0)","23"
"충청남도교육청","충청남도교육청","충청남도 서산시","S120000182","서일고등학교","04","사립","N","","6","6","6","0","0","18(0)","504(0)","28"
"충청남도교육청","충청남도교육청","충청남도 서천군","S120000183","서천고등학교","04","공립","N","","4","5","5","2","0","16(2)","273(8)","17.1"
"충청남도교육청","충청남도교육청","충청남도 서천군","S120000184","서천여자고등학교","04","공립","N","","3","3","3","1","0","10(1)","173(8)","17.3"
"충청남도교육청","충청남도교육청","충청남도 서천군","S120000186","서천여자정보고등학교","04","사립","N","","3","3","3","0","0","9(0)","156(0)","17.3"
"충청남도교육청","충청남도교육청","충청남도 홍성군","S120000187","서해삼육고등학교","04","사립","N","","3","3","3","0","0","9(0)","175(0)","19.4"
"충청남도교육청","충청남도교육청","충청남도 천안시 서북구","S120000189","성환고등학교","04","공립","N","","5","5","5","1","0","16(1)","358(6)","22.4"
"충청남도교육청","충청남도교육청","충청남도 당진시","S120000190","송악고등학교","04","사립","N","","8","6","6","0","0","20(0)","620(0)","31"
"충청남도교육청","충청남도교육청","충청남도 당진시","S120000191","신평고등학교","04","사립","N","","7","7","7","2","0","23(2)","669(11)","29.1"
"충청남도교육청","충청남도교육청","충청남도 논산시","S120000193","쌘뽈여자고등학교","04","사립","N","","6","6","6","0","0","18(0)","355(0)","19.7"
"충청남도교육청","충청남도교육청","충청남도 아산시","S120000194","아산고등학교","04","사립","N","","10","11","11","0","0","32(0)","1003(0)","31.3"
"충청남도교육청","충청남도교육청","충청남도 태안군","S120000195","안면고등학교","04","공립","N","","2","3","2","1","0","8(1)","130(3)","16.3"
"충청남도교육청","충청남도교육청","충청남도 논산시","S120000197","연무고등학교","04","사립","N","","6","6","6","0","0","18(0)","364(0)","20.2"
"충청남도교육청","충청남도교육청","충청남도 논산시","S120000199","연무마이스터고등학교","04","공립","N","","5","5","5","1","0","16(1)","225(5)","14.1"
"충청남도교육청","충청남도교육청","충청남도 예산군","S120000206","예산고등학교","04","사립","N","","8","8","8","1","0","25(1)","515(5)","20.6"
"충청남도교육청","충청남도교육청","충청남도 예산군","S120000208","예산여자고등학교","04","공립","N","","5","6","6","1","0","18(1)","352(3)","19.6"
"충청남도교육청","충청남도교육청","충청남도 예산군","S120000209","예산예화여자고등학교","04","사립","N","","6","6","6","0","0","18(0)","318(0)","17.7"
"충청남도교육청","충청남도교육청","충청남도 예산군","S120000210","충남반도체마이스터고등학교","04","공립","N","","3","3","4","1","0","11(1)","170(0)","15.5"
"충청남도교육청","충청남도교육청","충청남도 아산시","S120000213","온양고등학교","04","공립","N","","11","11","10","3","0","35(3)","1025(18)","29.3"
"충청남도교육청","충청남도교육청","충청남도 아산시","S120000214","온양여자고등학교","04","공립","N","","11","11","11","3","0","36(3)","1002(15)","27.8"
"충청남도교육청","충청남도교육청","충청남도 아산시","S120000217","한올고등학교","04","사립","N","","11","11","11","0","0","33(0)","938(0)","28.4"
"충청남도교육청","충청남도교육청","충청남도 계룡시","S120000218","용남고등학교","04","공립","N","","10","10","10","1","0","31(1)","817(6)","26.4"
"충청남도교육청","충청남도교육청","충청남도 서산시","S120000220","서산공업고등학교","04","공립","N","","6","6","6","0","0","18(0)","314(0)","17.4"
"충청남도교육청","충청남도교육청","충청남도 보령시","S120000221","웅천고등학교","04","공립","N","","3","3","3","0","0","9(0)","179(0)","19.9"
"충청남도교육청","충청남도교육청","충청남도 서천군","S120000226","장항고등학교","04","사립","N","","3","3","3","0","0","9(0)","180(0)","20"
"충청남도교육청","충청남도교육청","충청남도 서천군","S120000227","장항공업고등학교","04","공립","N","","2","2","3","1","0","8(1)","98(6)","12.3"
"충청남도교육청","충청남도교육청","충청남도 보령시","S120000233","주산산업고등학교","04","공립","N","","4","4","4","2","0","14(2)","162(10)","11.6"
"충청남도교육청","충청남도교육청","충청남도 금산군","S120000236","금산하이텍고등학교","04","공립","N","","3","3","3","1","0","10(1)","133(3)","13.3"
"충청남도교육청","충청남도교육청","충청남도 천안시 서북구","S120000237","천안상업고등학교","04","사립","N","","12","12","12","0","0","36(0)","836(0)","23.2"
"충청남도교육청","충청남도교육청","충청남도 천안시 동남구","S120000238","천안고등학교","04","사립","N","","11","11","11","0","0","33(0)","1093(0)","33.1"
