"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년","2학년","3학년","특수학급","순회학급","학급수(계)","학생수(계)","학급당학생수"
"충청남도교육청","충청남도공주교육지원청","충청남도 공주시","S000003501","국립공주대학교사범대학부설중학교","03","국립","N","","2","2","2","1","0","7(1)","161(6)","23"
"충청남도교육청","충청남도공주교육지원청","충청남도 공주시","S120000277","경천중학교","03","사립","N","","1","1","1","0","0","3(0)","32(0)","10.7"
"충청남도교육청","충청남도공주교육지원청","충청남도 공주시","S120000278","공주북중학교","03","사립","N","","3","3","3","0","0","9(0)","214(0)","23.8"
"충청남도교육청","충청남도공주교육지원청","충청남도 공주시","S120000279","공주여자중학교","03","공립","N","","7","7","7","1","0","22(1)","549(3)","25"
"충청남도교육청","충청남도공주교육지원청","충청남도 공주시","S120000280","공주영명중학교","03","사립","N","","2","2","2","0","0","6(0)","132(0)","22"
"충청남도교육청","충청남도공주교육지원청","충청남도 공주시","S120000281","공주중학교","03","공립","N","","5","4","5","3","0","17(3)","347(13)","20.4"
"충청남도교육청","충청남도공주교육지원청","충청남도 공주시","S120000282","반포중학교","03","공립","N","","1","1","1","1","0","4(1)","50(6)","12.5"
"충청남도교육청","충청남도공주교육지원청","충청남도 공주시","S120000283","봉황중학교","03","공립","N","","4","4","4","2","0","14(2)","326(8)","23.3"
"충청남도교육청","충청남도공주교육지원청","충청남도 공주시","S120000284","사곡중학교","03","공립","N","","1","1","1","1","0","4(1)","25(4)","6.3"
"충청남도교육청","충청남도공주교육지원청","충청남도 공주시","S120000286","우성중학교","03","공립","N","","2","2","2","2","0","8(2)","78(7)","9.8"
"충청남도교육청","충청남도공주교육지원청","충청남도 공주시","S120000287","유구중학교","03","공립","N","","2","2","2","1","0","7(1)","109(1)","15.6"
"충청남도교육청","충청남도공주교육지원청","충청남도 공주시","S120000288","이인중학교","03","공립","N","","1","1","1","0","0","3(0)","25(0)","8.3"
"충청남도교육청","충청남도공주교육지원청","충청남도 공주시","S120000290","정안중학교","03","공립","N","","1","1","1","0","0","3(0)","32(0)","10.7"
"충청남도교육청","충청남도공주교육지원청","충청남도 공주시","S120000291","탄천중학교","03","공립","N","","1","1","1","1","0","4(1)","18(2)","4.5"
"충청남도교육청","충청남도금산교육지원청","충청남도 금산군","S120000367","금산동중학교","03","공립","N","","3","5","3","2","0","13(2)","281(14)","21.6"
"충청남도교육청","충청남도금산교육지원청","충청남도 금산군","S120000368","금산여자중학교","03","공립","N","","3","3","4","2","0","12(2)","246(7)","20.5"
"충청남도교육청","충청남도금산교육지원청","충청남도 금산군","S120000369","금산중학교","03","공립","N","","3","3","4","1","0","11(1)","264(4)","24"
"충청남도교육청","충청남도금산교육지원청","충청남도 금산군","S120000371","복수중학교","03","공립","N","","1","1","1","0","0","3(0)","20(0)","6.7"
