"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년","2학년","3학년","4학년","5학년","6학년","특수학급","순회학급","학급수(계)","학생수(계)","학급당학생수"
"충청남도교육청","충청남도공주교육지원청","충청남도 공주시","S000003499","공주교육대학교부설초등학교","02","국립","N","","4","4","4","4","4","4","1","0","25(1)","469(6)","18.8"
"충청남도교육청","충청남도공주교육지원청","충청남도 공주시","S120000293","경천초등학교","02","공립","N","","1","1","1","1","1","1","0","0","6(0)","14(0)","2.3"
"충청남도교육청","충청남도공주교육지원청","충청남도 공주시","S120000294","계룡초등학교","02","공립","N","","1","1","1","1","1","1","0","0","6(0)","40(0)","6.7"
"충청남도교육청","충청남도공주교육지원청","충청남도 공주시","S120000295","공주교동초등학교","02","공립","N","","1","1","1","1","2","1","1","0","8(1)","120(5)","15"
"충청남도교육청","충청남도공주교육지원청","충청남도 공주시","S120000296","공주금학초등학교","02","공립","N","","1","1","1","1","1","1","1","0","7(1)","47(4)","6.7"
"충청남도교육청","충청남도공주교육지원청","충청남도 공주시","S120000297","공주봉황초등학교","02","공립","N","","1","1","1","1","1","1","1","0","7(1)","73(4)","10.4"
"충청남도교육청","충청남도공주교육지원청","충청남도 공주시","S120000298","공주신월초등학교","02","공립","N","","6","6","7","8","8","8","2","0","45(2)","1075(10)","23.9"
"충청남도교육청","충청남도공주교육지원청","충청남도 공주시","S120000299","공주중동초등학교","02","공립","N","","1","1","1","2","1","2","2","0","10(2)","130(9)","13"
"충청남도교육청","충청남도공주교육지원청","충청남도 공주시","S120000302","구산초등학교","02","공립","N","","1","1","1","1","1","1","0","0","6(0)","34(0)","5.7"
"충청남도교육청","충청남도공주교육지원청","충청남도 공주시","S120000304","귀산초등학교","02","공립","N","","1","1","1","1","1","1","0","0","6(0)","49(0)","8.2"
"충청남도교육청","충청남도공주교육지원청","충청남도 공주시","S120000312","덕암초등학교","02","공립","N","","1","1","1","1","1","1","1","0","7(1)","15(1)","2.1"
"충청남도교육청","충청남도공주교육지원청","충청남도 공주시","S120000315","마곡초등학교","02","공립","N","","1","1","1","1","1","1","1","0","7(1)","22(2)","3.1"
"충청남도교육청","충청남도공주교육지원청","충청남도 공주시","S120000317","반포초등학교","02","공립","N","","1","1","1","1","1","1","2","0","8(2)","35(6)","4.4"
"충청남도교육청","충청남도공주교육지원청","충청남도 공주시","S120000323","상서초등학교","02","공립","N","","1","1","1","1","1","1","1","0","7(1)","49(2)","7"
"충청남도교육청","충청남도공주교육지원청","충청남도 공주시","S120000326","석송초등학교","02","공립","N","","1","1","1","1","1","1","0","0","6(0)","52(0)","8.7"
"충청남도교육청","충청남도공주교육지원청","충청남도 공주시","S120000330","수촌초등학교","02","공립","N","","1","1","1","1","1","1","1","0","7(1)","44(6)","6.3"
"충청남도교육청","충청남도공주교육지원청","충청남도 공주시","S120000331","신관초등학교","02","공립","N","","3","3","3","4","4","5","2","0","24(2)","456(10)","19"
"충청남도교육청","충청남도공주교육지원청","충청남도 공주시","S120000332","신풍초등학교","02","공립","N","","1","1","1","1","1","1","1","0","7(1)","32(2)","4.6"
"충청남도교육청","충청남도공주교육지원청","충청남도 공주시","S120000338","우성초등학교","02","공립","N","","1","1","1","1","1","1","1","0","7(1)","39(2)","5.6"
"충청남도교육청","충청남도공주교육지원청","충청남도 공주시","S120000343","유구초등학교","02","공립","N","","1","1","1","1","1","1","1","0","7(1)","75(5)","10.7"
"충청남도교육청","충청남도공주교육지원청","충청남도 공주시","S120000345","의당초등학교","02","공립","N","","1","1","1","1","1","1","1","0","7(1)","45(2)","6.4"
"충청남도교육청","충청남도공주교육지원청","충청남도 공주시","S120000348","이인초등학교","02","공립","N","","1","1","1","1","1","1","1","0","7(1)","37(2)","5.3"
"충청남도교육청","충청남도공주교육지원청","충청남도 공주시","S120000353","정안초등학교","02","공립","N","","1","1","1","1","1","1","0","0","6(0)","37(0)","6.2"
"충청남도교육청","충청남도공주교육지원청","충청남도 공주시","S120000360","탄천초등학교","02","공립","N","","1","1","1","1","1","1","1","0","7(1)","30(4)","4.3"
"충청남도교육청","충청남도공주교육지원청","충청남도 공주시","S120000361","태봉초등학교","02","공립","N","","1","1","1","1","1","1","0","0","6(0)","26(0)","4.3"
"충청남도교육청","충청남도공주교육지원청","충청남도 공주시","S120000362","학봉초등학교","02","공립","N","","1","1","1","1","1","1","0","0","6(0)","22(0)","3.7"
"충청남도교육청","충청남도공주교육지원청","충청남도 공주시","S120000364","호계초등학교","02","공립","N","","1","1","1","1","1","1","0","0","6(0)","24(0)","4"
"충청남도교육청","충청남도공주교육지원청","충청남도 공주시","S120000366","효포초등학교","02","공립","N","","1","1","1","1","1","1","1","0","7(1)","32(1)","4.6"
"충청남도교육청","충청남도금산교육지원청","충청남도 금산군","S120000376","군북초등학교","02","공립","N","","1","1","1","1","1","1","1","0","7(1)","28(4)","4"
"충청남도교육청","충청남도금산교육지원청","충청남도 금산군","S120000378","금성초등학교금계분교장","02","공립","N","","0","0","0","0","1","1","0","0","2(0)","4(0)","2"
"충청남도교육청","충청남도금산교육지원청","충청남도 금산군","S120000382","금산동초등학교","02","공립","N","","1","1","1","1","1","1","2","0","8(2)","86(9)","10.8"
"충청남도교육청","충청남도금산교육지원청","충청남도 금산군","S120000383","금산중앙초등학교","02","공립","N","","4","3","4","3","3","4","2","0","23(2)","450(8)","19.6"
"충청남도교육청","충청남도금산교육지원청","충청남도 금산군","S120000385","금산초등학교","02","공립","N","","2","2","3","3","3","4","2","0","19(2)","364(7)","19.2"
"충청남도교육청","충청남도금산교육지원청","충청남도 금산군","S120000386","금성초등학교","02","공립","N","","0","1","1","1","1","1","1","0","6(1)","24(4)","4"
"충청남도교육청","충청남도금산교육지원청","충청남도 금산군","S120000389","남이초등학교","02","공립","N","","1","1","1","1","1","1","0","0","6(0)","21(0)","3.5"
"충청남도교육청","충청남도금산교육지원청","충청남도 금산군","S120000392","남일초등학교","02","공립","N","","1","1","1","1","1","1","0","0","6(0)","49(0)","8.2"
"충청남도교육청","충청남도금산교육지원청","충청남도 금산군","S120000395","복수초등학교","02","공립","N","","1","1","1","1","1","1","1","0","7(1)","20(5)","2.9"
"충청남도교육청","충청남도금산교육지원청","충청남도 금산군","S120000399","부리초등학교","02","공립","N","","1","1","1","1","1","1","1","0","7(1)","32(5)","4.6"
"충청남도교육청","충청남도금산교육지원청","충청남도 금산군","S120000402","상곡초등학교","02","공립","N","","1","1","1","1","1","1","0","0","6(0)","29(0)","4.8"
"충청남도교육청","충청남도금산교육지원청","충청남도 금산군","S120000405","성대초등학교","02","공립","N","","1","1","1","1","1","1","1","0","7(1)","21(1)","3"
"충청남도교육청","충청남도금산교육지원청","충청남도 금산군","S120000406","신대초등학교","02","공립","N","","1","1","1","1","1","1","0","0","6(0)","18(0)","3"
