"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","유초등부-유","유초등부-유-순회","유초등부-1학년","유초등부-2학년","유초등부-3학년","유초등부-4학년","유초등부-5학년","유초등부-6학년","유초등부-초-순회","유초등부-학급수계","유초등부-학생수계","유초등부-학급당학생수","중등부-1학년","중등부-2학년","중등부-3학년","중등부-순회","중등부-학급수계","중등부-학생수계","중등부-학급당학생수","고등부-1학년","고등부-2학년","고등부-3학년","고등부-순회","고등부-학급수계","고등부-학생수계","고등부-학급당학생수","전공과","학급수 총계","학생수 총계","학급당학생수"
"충청남도교육청","충청남도교육청","충청남도 공주시","S000006122","국립공주대학교사범대학부설특수학교","05","국립","N","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","0","0","12","70","5.8","0","12","70","5.8"
"충청남도교육청","충청남도교육청","충청남도 공주시","S120001249","공주정명학교","05","공립","N","","0","0","1","2","2","2","1","2","0","10","43","4.3","2","2","1","1","6","21","3.5","1","1","2","1","5","21","4.2","4","25","106","4.2"
"충청남도교육청","충청남도교육청","충청남도 천안시 서북구","S120001250","천안인애학교","05","공립","N","","1","0","3","3","5","3","2","2","2","21","112","5.3","4","7","6","1","18","106","5.9","3","2","2","0","7","40","5.7","5","51","292","5.7"
"충청남도교육청","충청남도교육청","충청남도 보령시","S120001251","보령정심학교","05","사립","N","","0","0","2","1","1","1","1","1","0","7","22","3.1","1","2","1","0","4","17","4.3","2","1","2","1","6","22","3.7","4","21","86","4.1"
"충청남도교육청","충청남도교육청","충청남도 서산시","S120001252","서산성봉학교","05","공립","N","","0","0","2","3","2","2","2","3","0","14","68","4.9","4","2","2","0","8","39","4.9","3","2","2","0","7","39","5.6","6","35","186","5.3"
"충청남도교육청","충청남도교육청","충청남도 천안시 서북구","S120001253","나사렛새꿈학교","05","사립","N","","4","3","2","2","1","3","2","2","3","22","87","4","3","2","1","0","6","26","4.3","1","1","2","1","5","17","3.4","0","33","130","3.9"
"충청남도교육청","충청남도교육청","충청남도 아산시","S120002668","아산성심학교","05","공립","N","","0","0","2","3","3","3","2","2","0","15","90","6","4","3","4","0","11","62","5.6","4","2","2","0","8","49","6.1","4","38","229","6"
"충청남도교육청","충청남도교육청","충청남도 천안시 동남구","S120002910","천안늘해랑학교","05","공립","N","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","1","1","8","43","5.4","5","13","79","6.1"
"충청남도교육청","충청남도교육청","충청남도 논산시","S120002913","성광온누리학교","05","공립","N","","1","0","2","2","1","2","2","2","1","13","53","4.1","3","3","2","0","8","47","5.9","2","2","2","1","7","38","5.4","4","32","166","5.2"
"충청남도교육청","충청남도교육청","충청남도 당진시","S120002927","당진꿈나래학교","05","공립","N","","0","0","2","2","2","2","2","2","0","12","67","5.6","2","2","2","0","6","36","6","2","3","1","0","6","37","6.2","2","26","154","5.9"
"충청남도교육청","충청남도교육청","충청남도 예산군","S120002939","예산꿈빛학교","05","공립","N","","3","0","1","2","2","2","1","2","1","14","56","4","2","2","2","0","6","30","5","2","2","2","0","6","30","5","4","30","143","4.8"
